record_id,indicator,agency,release_date,reference_period,point_in_time_safe,quality_issues,historical_consensus_available
db9da179773ffc91,GDP,BEA,2024-11-27,Q3 2024 — Second Estimate,True,,False
a9ee16a1b97ddda9,NFP,BLS,2024-12-06,November 2024,True,,False
6891adf8458fdec4,UNEMPLOYMENT_RATE,BLS,2024-12-06,November 2024,True,,False
751ec2f8987132ef,CORE_CPI,BLS,2024-12-11,November 2024,True,,False
f60fdffe99501e98,CPI,BLS,2024-12-11,November 2024,True,,False
e15975840598792c,GDP,BEA,2024-12-19,Q3 2024 — Third Estimate,True,,False
07f4938f4db7e840,ISM_MANUFACTURING_PMI,ISM,2025-01-03,January 2025,True,,False
c7314b601275306e,INITIAL_JOBLESS_CLAIMS,DOL,2025-01-08,"Week ending January 4, 2025",True,,False
16585eef4f850b8d,NFP,BLS,2025-01-10,December 2024,True,,False
2d602db2563c3a1b,UNEMPLOYMENT_RATE,BLS,2025-01-10,December 2024,True,,False
60f1bfc7281b7e5a,CORE_CPI,BLS,2025-01-15,December 2024,True,,False
855609494e620871,CPI,BLS,2025-01-15,December 2024,True,,False
0deda181eac26266,INITIAL_JOBLESS_CLAIMS,DOL,2025-01-16,"Week ending January 11, 2025",True,,False
97c9493a89478c08,INITIAL_JOBLESS_CLAIMS,DOL,2025-01-23,"Week ending January 18, 2025",True,,False
84c8861c550c6e42,GDP,BEA,2025-01-30,Q4 2024 — Advance Estimate,True,,False
ecbb3af23fd6ebd0,INITIAL_JOBLESS_CLAIMS,DOL,2025-01-30,"Week ending January 25, 2025",True,,False
dbfe5b65a50630d4,ISM_MANUFACTURING_PMI,ISM,2025-02-03,February 2025,True,,False
d929c8b30b256ff3,INITIAL_JOBLESS_CLAIMS,DOL,2025-02-06,"Week ending February 1, 2025",True,,False
8b04b043bf13ff6f,NFP,BLS,2025-02-07,2025-01,True,,False
6b7dc9f494dc5ae6,UNEMPLOYMENT_RATE,BLS,2025-02-07,2025-01,True,,False
edbed34e9f5e648d,CORE_CPI,BLS,2025-02-12,2025-01,True,,False
959a35af118f7008,CPI,BLS,2025-02-12,2025-01,True,,False
726208202311676d,INITIAL_JOBLESS_CLAIMS,DOL,2025-02-13,"Week ending February 8, 2025",True,,False
99589c08841c5586,INITIAL_JOBLESS_CLAIMS,DOL,2025-02-20,"Week ending February 15, 2025",True,,False
82a0a258d14fb787,GDP,BEA,2025-02-27,Q4 2024 — Second Estimate,True,,False
4d3ac8946d65f2a4,INITIAL_JOBLESS_CLAIMS,DOL,2025-02-27,"Week ending February 22, 2025",True,,False
7432a0035515a5e9,ISM_MANUFACTURING_PMI,ISM,2025-03-03,March 2025,True,,False
4a0bcecf026b6650,INITIAL_JOBLESS_CLAIMS,DOL,2025-03-06,"Week ending March 1, 2025",True,,False
41b7910249a45213,NFP,BLS,2025-03-07,2025-02,True,,False
3b7271a9a6a7f475,UNEMPLOYMENT_RATE,BLS,2025-03-07,2025-02,True,,False
e0591932468a6c85,CORE_CPI,BLS,2025-03-12,2025-02,True,,False
87f925c94550b251,CPI,BLS,2025-03-12,2025-02,True,,False
094d32ca6d4c9315,INITIAL_JOBLESS_CLAIMS,DOL,2025-03-13,"Week ending March 8, 2025",True,,False
e756663407e9aff5,INITIAL_JOBLESS_CLAIMS,DOL,2025-03-20,"Week ending March 15, 2025",True,,False
